iam_domain,question_id,section_id,question_text,answer_type,question_type,iso_27001_2022,nist_800_53_rev5,soc_2_tsc,gdpr,pci_dss_4_0,hipaa,cis_controls,
User Authentication,Q_001,IDP,Do you use a centralized identity provider IdP for authenticating users to internal business systems?,yes_no_partial_with_text,core,A.8.5,IA-2,CC6.1,Art.32(1),8.3.1,164.312(d),6.4|6.5,
User Authentication,Q_002,IDP,Are all new user accounts created in the centralized IdP rather than as local application accounts?,yes_no_partial_with_text,core,A.8.2|A.8.3,AC-2,CC6.2,Art.25|Art.32(1),7.2.1,164.308(a)(3),5.1|6.3,
User Authentication,Q_003,IDP,Are business critical applications integrated with the centralized IdP for user authentication?,yes_no_partial_with_text,core,A.8.22,AC-2|IA-2,CC6.1,Art.32(1),7.2.2,164.312(d),6.4,
User Authentication,Q_004,IDP,Are there any applications that still use standalone or local user accounts instead of the IdP?,yes_no_partial_with_text,follow_up,A.8.3,AC-2,CC6.7,Art.32(1),7.2.5,164.308(a)(3),6.7,
User Authentication,Q_005,IDP,Is there a documented standard that all new applications must use the centralized IdP for user authentication?,yes_no_partial_with_text,core,A.5.1|A.5.15,PM-11,CC1.2|CC6.1,Art.24|Art.32(1),6.1.1,164.308(a)(1),2.3|5.1,
User Authentication,Q_006,IDP,Are authentication protocols such as SAML OIDC or OAuth used between applications and the IdP?,yes_no_partial_with_text,core,A.8.22|A.8.24,SC-12|IA-2,CC6.1,Art.32(1),4.2.1,164.312(e),3.11|6.7,
User Authentication,Q_007,IDP,Are service accounts and application accounts authenticated through secure mechanisms controlled by the IdP?,yes_no_partial_with_text,follow_up,A.8.2|A.8.5,IA-2|AC-2,CC6.1,Art.32(1),7.2.1,164.308(a)(3),5.1|6.3,
User Authentication,Q_008,IDP,Is access to the IdP administrative console restricted to a limited set of authorized administrators?,yes_no_partial_with_text,core,A.8.2|A.8.5,AC-6|IA-2,CC6.2,Art.32(1),7.2.1,164.308(a)(3),6.5,
User Authentication,Q_009,IDP,Are changes to IdP authentication configuration subject to change management and approval?,yes_no_partial_with_text,follow_up,A.5.23|A.8.8,CM-3|AC-6,CC5.2,Art.32(1),6.4.2,164.308(a)(1),4.1|5.1,
User Authentication,Q_010,IDP,Are administrative actions on the IdP such as policy changes and user overrides logged and retained?,yes_no_partial_with_text,follow_up,A.8.16,AU-2|AU-12,CC7.2,Art.30|Art.32(1),10.2,164.312(b),8.2|8.11,
User Authentication,Q_011,IDP,Do you periodically review which systems are integrated with the centralized IdP?,yes_no_partial_with_text,follow_up,A.5.29,CA-7,CC4.1,Art.32(1)(d),10.4.2,164.308(a)(8),4.1,
User Authentication,Q_012,IDP,Does the IdP support strong session management features such as single sign out and token revocation?,yes_no_partial_with_text,core,A.8.10|A.8.22,SC-23|IA-2,CC6.1,Art.32(1),8.2.6,164.312(a),3.11|6.7,
User Authentication,Q_013,IDP,Are user identities in the IdP synchronized from authoritative HR or identity sources?,yes_no_partial_with_text,core,A.8.2|A.8.3,AC-2|IA-4,CC6.2,Art.5(1)(d)|Art.32(1),7.2.1,164.308(a)(3),3.4|5.1,
