IAM_Domain,Sub_Domain,Question_ID,Question,ISO_27001_2022,NIST_800_53_Rev5,SOC_2_TSC,GDPR,PCI_DSS_4_0,HIPAA,CIS_Controls,Answer_Type,Notes
Identity Lifecycle Management,Onboarding,ILM-001,Are joiner/mover/leaver provisioning workflows automated?,"A.5.16 (Identity Management), A.5.18 (Access Rights)","AC-2 (Account Management), IA-4 (Identifier Management)","CC6.1, CC6.2",Article 32,"Req 7.2.1, 7.2.2","164.308(a)(3)(ii)(A), 164.308(a)(4)(ii)(C)",CIS 5.1,Multiple Choice,"Assess automation level: Manual/Semi-automated/Fully automated"
Identity Lifecycle Management,Onboarding,ILM-002,Is there a formal approval process for granting user access to systems and applications?,"A.5.16, A.5.18","AC-2(1), AC-2(7)","CC6.1, CC6.2",Article 32,Req 7.1.1,164.308(a)(4)(ii)(C),CIS 5.4,Yes/No,Verify approval workflows exist
Identity Lifecycle Management,Onboarding,ILM-003,Are new user accounts created based on predefined role templates or job functions?,"A.5.16, A.8.2","AC-2(7), AC-5","CC6.1, CC6.2",Article 25,Req 7.2.2,164.308(a)(3)(ii)(A),CIS 5.1,Yes/No,Check for RBAC implementation
Identity Lifecycle Management,Onboarding,ILM-004,How long does it take on average for a new employee to receive all necessary access rights?,"A.5.16, A.5.18",AC-2,"CC6.1, CC7.2",Article 32,Req 7.2.1,164.308(a)(4)(ii)(C),CIS 5.4,Text/Numeric,Measure provisioning efficiency
Identity Lifecycle Management,Onboarding,ILM-005,Is there a maximum timeframe defined for provisioning access to new employees?,"A.5.16, A.5.18",AC-2,"CC6.1, CC7.2",Article 32,Req 7.2.1,164.308(a)(4)(ii)(C),CIS 5.4,Yes/No,Check SLA existence
Identity Lifecycle Management,Offboarding,ILM-006,Are user accounts disabled immediately upon employee termination?,"A.5.16, A.5.18","AC-2(3), AC-2(9)","CC6.1, CC6.2",Article 32,"Req 7.2.6, 8.2.6",164.308(a)(3)(ii)(C),CIS 5.3,Yes/No,Critical security control
Identity Lifecycle Management,Offboarding,ILM-007,Is there an automated process to notify IT of employee terminations?,"A.5.16, A.5.18",AC-2,"CC6.1, CC7.2",Article 32,Req 7.2.6,164.308(a)(3)(ii)(C),CIS 5.3,Yes/No,Check HR-IT integration
Identity Lifecycle Management,Offboarding,ILM-008,Are access rights for departing employees reviewed and documented?,"A.5.16, A.5.18","AC-2(3), AC-2(12)","CC6.1, CC6.2",Article 32,Req 7.2.6,164.308(a)(4)(ii)(C),CIS 5.3,Yes/No,Verify documentation exists
Identity Lifecycle Management,Offboarding,ILM-009,How quickly are physical access credentials (badges) deactivated upon termination?,"A.5.16, A.7.2",PE-2,"CC6.4, CC6.5",Article 32,Req 9.1.2,164.310(a)(2)(iii),CIS 5.3,Text/Numeric,Measure response time
Identity Lifecycle Management,Offboarding,ILM-010,Are accounts deleted or only disabled after termination? What is the retention period?,"A.5.16, A.5.18","AC-2(3), SI-12","CC6.1, CC6.2",Article 17,Req 7.2.6,164.308(a)(4)(ii)(C),CIS 5.3,Multiple Choice,Check data retention policy
